Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
DELL,Vostro,Core i3,Windows 10,256 GB,8 GB,38.0 cm (14.96 Inch),No,"₹34,990"
Infinix,INBook X2 Plus Core i7,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),No,"₹40,990"
ASUS,E1404FA-NK321WS,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,35.81 cm (14.1 inch),No,"₹34,499"
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
Infinix,INBook Y2 Plus,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹27,490"
DELL,Inspiron 3520,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹53,480"
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
HP,13b-ca0006MU,MediaTek Kompanio 1200,Chrome,256 GB,8 GB,33.78 cm (13.3 Inch),No,"₹35,990"
ASUS,GA401QE-K2166TS,Ryzen 9 Octa Core,Windows 10 Home,1 TB,16 GB,35.56 cm (14 Inch),No,"₹89,990"
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
WINGS,WL-Nuvobook V1-BLU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹27,990"
Lenovo,V15 G4,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹29,800"
ASUS,E510MA-EJ011WS,Celeron Dual Core,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"₹24,990"
HP,15-fb0137AX,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
Infinix,INBook X2 Plus Core i7,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),No,"₹40,990"
HP,14s-fy1003AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹45,490"
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
HP,Notebook,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹50,999"
HP,15a- na0012TU,Celeron Dual Core,Chrome,128 GB,4 GB,39.62 cm (15.6 Inch),No,"₹22,100"
Lenovo,Lenovo V15,Celeron Dual Core,DOS,256 GB,8 GB,39.62 cm (15.6 inch),No,"₹21,990"
ASUS,M6500QFB-LK742WS,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹67,990"
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
Infinix,XL30,Celeron Quad Core,Windows 11 Home,128 GB,4 GB,39.62 cm (15.6 Inch),No,"₹20,990"
Acer,A315-24P,Ryzen 3 Quad Core,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,"₹27,990"
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
DELL,INSP 5620,Core i3,Windows 11 Home,512 GB,8 GB,40.64 cm (16 inch),Yes,"₹43,990"
Acer,ANV15-51,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹64,990"
ASUS,K3504VAB-NJ541WS,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹59,500"
Infinix,XL422,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹38,990"
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
ZEBRONICS,ZEB-NBC 2S,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹32,990"
Infinix,INBook Y1 Plus,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 inch),No,"₹28,790"
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
HP,15s- ey2001au,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹53,990"
Primebook,Primebook S 4G,MediaTek MT8788,Prime OS,128 GB,4 GB,29.46 cm (11.6 Inch),No,"₹16,990"
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
Lenovo,15ACH6H,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,"₹99,990"
Acer,PHN16-71,Core i7,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),No,"₹1,19,990"
HP,15a- na0012TU,Celeron Dual Core,Chrome,128 GB,4 GB,39.62 cm (15.6 Inch),No,"₹25,935"
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
ZEBRONICS,ZEB-NBC 3S,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹31,990"
ASUS,ROG Strix G15,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),Yes,"₹84,990"
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
ASUS,RC71L-NH019W,Ryzen Z1 HexaCore,Windows 11 Home,512 GB,16 GB,17.78 cm (7 Inch),Yes,"₹52,990"
Infinix,XL25,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹37,990"
ASUS,G513RC-HN083W,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,"₹81,990"
MSI,Katana 17 B13UDXK-255IN,Core i7,Windows 11 Home,4 TB,16 GB,43.94 cm (17.3 Inch),No,"₹93,990"
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
HP,Notebook,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹68,373"
Lenovo,15IGL05,Celeron Dual Core,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,"₹26,990"
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
ASUS,M6500QF-HN521W,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹50,990"
ASUS,K3605ZC-MBN541WS,Core i5,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),No,"₹69,990"
HP,15-fb1016AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹64,400"
WINGS,WL-Nuvobook S1-SLV,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,"₹24,990"
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
Lenovo,15AMN7,Ryzen 3 Quad Core,Windows 11 Home,NA,8 GB,39.62 cm (15.6 inch),No,"₹33,990"
HP,15s-fy5007TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹53,990"
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
DELL,Inspiron 3530,Core i5,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,"₹64,990"
ASUS,Chromebook,Celeron Dual Core,Chrome,64 GB,4 GB,35.56 cm (14 inch),Yes,"₹23,999"
Acer,A315-59,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹31,890"
Acer,ANV15-51,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹62,990"
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
MSI,Thin GF63 12VE-070IN,Core i7,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,"₹79,990"
HP,15-fb0150AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),Yes,"₹54,999"
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
HP,14-dv1000TU,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),No,"₹57,680"
DELL,Inspiron,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹70,199"
DELL,G15-5525,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,96.52 cm (38 cm),No,"₹93,003"
Lenovo,15ACH6H,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹98,990"
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
Infinix,ZL513,Core i7,Windows 11 Home,1 TB,32 GB,39.62 cm (15.6 inch),No,"₹57,990"
DELL,G15-5520,Core i7,Windows 11 Home,512 GB,16 GB,96.52 cm (38 cm),No,"₹1,47,689"
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
Apple,MacBook Pro,M2,Mac OS Monterey,512 GB,8 GB,33.78 cm (13.3 Inch),No,"₹1,36,990"
HP,15s,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹39,550"
MSI,Katana 15 B12VFK-299IN,Core i7,Windows 11 Home,4 TB,16 GB,39.62 cm (15.6 Inch),No,"₹1,03,990"
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
HP,15s FR2508TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,500"
Acer,Aspire 5,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
ASUS,TUF Gaming F15,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),Yes,"₹74,990"
ASUS,FX707ZC4-HX048WS,Core i5,Windows 11 Home,3 TB,8 GB,43.94 cm (17.3 inch),No,"₹85,990"
HP,15s- eq2223AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹43,500"
MSI,Katana 17 B13VEK-254IN,Core i7,Windows 11 Home,4 TB,16 GB,43.94 cm (17.3 Inch),No,"₹1,10,990"
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
Lenovo,15IRH8,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹1,07,990"
HP,15-fd0019TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹47,119"
CHUWI,CoreBook X,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹32,990"
CHUWI,CoreBook X,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),No,"₹24,990"
ASUS,FX507ZC4-HN116W,Core i5,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,"₹85,990"
DELL,Inspiron 3505,Ryzen 3 Dual Core,Windows 10,1 TB,8 GB,39.62 cm (15.6 inch),No,"₹35,855"
ASUS,K3605ZC-MBN542WS,Core i5,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),No,"₹69,990"
HP,15-eg2017TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹52,250"
CHUWI,FreeBook,Core i3,Windows 11 Home,512 GB,12 GB,34.29 cm (13.5 inch),Yes,"₹33,990"
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
MSI,Thin GF63 12VE-664IN,Core i7,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,"₹90,990"
ASUS,X515JA-BQ322WS,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹33,990"
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
ASUS,Vivobook 15 X1504ZA,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹47,990"
HP,15s FR2508TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹38,500"
Infinix,Inbook,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹34,990"
DELL,Inspiron 3520,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹42,000"
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
HP,XD0007ax,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,40.89 cm (16.1 Inch),No,"₹1,10,990"
HP,16-wd0880TX,Core i5,Windows 11 Home,512 GB,16 GB,40.89 cm (16.1 Inch),No,"₹94,990"
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
Infinix,XL25,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,"₹29,990"
ASUS,CM3000DVA-HT0038,MediaTek Kompanio 500,Chrome,128 GB,4 GB,26.67 cm (10.5 inch),Yes,"₹22,990"
MSI,Titan GT77HX 13VH-093IN,Core i9,Windows 11 Home,6 TB,64 GB,43.94 cm (17.3 Inch),No,"₹4,89,990"
ASUS,X1502ZA-EJ331WS,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹45,990"
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
ASUS,K513EA-L312WS,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹45,500"
ASUS,X515EA-EJ522WS,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹45,116"
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
Lenovo,15IAU7,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,"₹32,490"
Lenovo,V15 G4,Ryzen 3 Quad Core,DOS,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹27,990"
SAMSUNG,Galaxy Book3 Pro 360,Core i7,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),Yes,"₹1,53,990"
DELL,Vostro 3425,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹38,990"
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
Acer,A515-56,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹48,990"
Acer,Aspire Lite,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹39,349"
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
Lenovo,14M868,MediaTek Kompanio 520,Chrome,128 GB,8 GB,35.56 cm (14 inch),No,"₹20,990"
HP,Pavilion x360 2-in-1,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,"₹89,990"
HP,14-dv2053TU,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹60,990"
Lenovo,V15 G2 ALC,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹33,999"
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
ASUS,E1404FA-NK322WS,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹34,490"
Infinix,Inbook,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹48,990"
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
DELL,Inspiron 3505,Ryzen 3 Dual Core,Windows 10,1 TB,8 GB,39.62 cm (15.6 inch),No,"₹35,855"
HP,14s,Ryzen 5 Hexa Core,Windows 10 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹53,200"
DELL,Vostro 3425,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹50,990"
HP,15s-fq2717TU,Core i3,Windows 11 Home,2 TB,8 GB,39.62 cm (15.6 Inch),No,"₹37,490"
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
Acer,Swift Go 14,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹54,990"
HP,15s-fq5112TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹57,990"
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
ASUS,X515EA-EZ311WS,Core i3,Windows 11 Home,NA,8 GB,39.62 cm (15.6 Inch),Yes,"₹38,990"
MSI,Katana 15 B12UDXK-1006IN,Core i5,Windows 11 Home,4 TB,8 GB,39.62 cm (15.6 Inch),No,"₹72,990"
HP,XD0007ax,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,40.89 cm (16.1 Inch),No,"₹1,10,990"
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
Lenovo,14ITL6,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹34,990"
DELL,G15-5525,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,96.52 cm (38 cm),No,"₹93,003"
CHUWI,CoreBook X,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹32,990"
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
HP,Pavilion,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,"₹65,499"
DELL,Inspiron 5430,Core i5,Windows 11 Home,1 TB,8 GB,35.56 cm (14 inch),Yes,"₹67,890"
DELL,Inspiron 3520,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,886"
DELL,VOSTRO,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),Yes,"₹54,490"
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
ASUS,X515JA-BQ322WS,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹33,990"
Acer,A515-56,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹48,990"
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
HP,Pavilion x360 2-in-1,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,"₹89,990"
DELL,Inspiron 3511,Core i3,Windows 11 Home,1 TB,8 GB,96.52 cm (38 cm),No,"₹38,499"
ASUS,RC71L-NH001W,Ryzen Z1 Octa Core,Windows 11 Home,512 GB,16 GB,17.78 cm (7 Inch),Yes,"₹59,990"
Acer,Nitro,Ryzen 5 Hexa Core,Windows 10 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"₹62,990"
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
HP,15s-du3517TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹49,749"
ASUS,CX1500CKA-EJ0277,Celeron Dual Core,Chrome,128 GB,4 GB,39.62 cm (15.6 Inch),No,"₹16,990"
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
ASUS,X1404VA-NK542WS,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹59,990"
Lenovo,15APH8,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹83,990"
Lenovo,15ACH6,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹52,890"
DELL,Inspiron 15 3511,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹45,990"
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
MSI,Raider GE66 12UGS,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),No,"₹1,47,743"
Acer,CB314-3H,Celeron Dual Core,Chrome,128 GB,8 GB,35.56 cm (14 inch),No,"₹23,990"
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
ASUS,FX507VU-LP083WS,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹1,19,990"
Infinix,XL30,Celeron Quad Core,Windows 11 Home,128 GB,4 GB,39.62 cm (15.6 Inch),No,"₹20,990"
ASUS,FX506LHB-HN355W | FX506LH-HN258W,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹49,990"
HP,Pavilion 15-EH3101AU,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹64,600"
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
GIGABYTE,G5 MF-E2IN313SH,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹72,990"
Lenovo,15ITL6,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,"₹34,490"
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
